"approval-date","reimbursement-id","case-id","amazon-order-id","reason","sku","fnsku","asin","product-name","condition","currency-unit","amount-per-unit","amount-total","quantity-reimbursed-cash","quantity-reimbursed-inventory","quantity-reimbursed-total","original-reimbursement-id","original-reimbursement-type"
"2026-04-14T09:25:00+00:00","21692567121",,,"Lost_Warehouse","FBA-3609-0002","B000WK8XEI","B000WK8XEI","Maxima 55901 10WT Standard Hydraulic Fork Oil - 1 Liter Bottle","NewItem","CAD","3.35","40.20","12","0","12",,
"2026-04-14T07:57:02+00:00","21691597001",,,"Damaged_Warehouse","A260621-FBA","B01IVRBJ5S","B01IVRBJ5S","Kimpex Synthetic Engine Oil Lubricant 10W40 4 Stroke 1 Gallon ATV, Motorcycle 260621","NewItem","CAD","24.11","24.11","1","0","1",,
"2026-04-14T07:13:53+00:00","21690455201",,"701-7854480-6941869","CustomerReturn","FBA-U6920035","X004XL010H","B0C8WP4GXV","KTM/Motorex Coolant M3.0 Ready to Use (1.0L) - U6920035","NewItem","CAD","17.55","17.55","1","0","1",,
"2026-04-14T04:49:43+00:00","21689890111",,,"Lost_Warehouse","FBA-U6921040","X004XPUEEV","B0BZQFNT4X","KTM/Motorex Oil Change Kit (1.0L)","NewItem","CAD","11.60","11.60","1","0","1",,
"2026-04-14T03:03:53+00:00","21688010691",,,"Lost_Warehouse","A260621-FBA","B01IVRBJ5S","B01IVRBJ5S","Kimpex Synthetic Engine Oil Lubricant 10W40 4 Stroke 1 Gallon ATV, Motorcycle 260621","NewItem","CAD","24.11","48.22","2","0","2",,
"2026-04-14T02:22:40+00:00","21688357141",,,"Damaged_Warehouse","FBA-3609-0002","B000WK8XEI","B000WK8XEI","Maxima 55901 10WT Standard Hydraulic Fork Oil - 1 Liter Bottle","NewItem","CAD","6.70","33.50","5","0","5",,
"2026-04-14T02:22:39+00:00","21688911491",,,"Damaged_Warehouse","FBA-3609-0002","B000WK8XEI","B000WK8XEI","Maxima 55901 10WT Standard Hydraulic Fork Oil - 1 Liter Bottle","NewItem","CAD","6.70","20.10","3","0","3",,
"2026-04-14T02:22:37+00:00","21688911481",,,"Damaged_Warehouse","FBA-3609-0002","B000WK8XEI","B000WK8XEI","Maxima 55901 10WT Standard Hydraulic Fork Oil - 1 Liter Bottle","NewItem","CAD","6.70","6.70","1","0","1",,
"2026-04-14T00:02:54+00:00","21687137751",,"701-9341781-0743417","CustomerReturn","A260610","B01IVR9BEO","B01IVR9BEO","Kimpex Mineral Engine Oil Lubricant 10W40 4 Stroke 1 Gallon ATV, Motorcycle 260610","NewItem","CAD","23.51","23.51","1","0","1",,
"2026-04-13T18:19:51+00:00","21683726581",,"702-7332614-1052253","CustomerReturn","FBA-2877883","X004X86U7N","B00JJZGD4O","Polaris Snowmobile VES Full Synthetic 2-Cycle Oil, For 2-Stroke Snowmobiles, 1 Gallon - 2877883-CA","NewItem","CAD","71.56","71.56","1","0","1",,
"2026-04-13T11:53:32+00:00","21681645281",,"702-7332614-1052253","CustomerReturn","FBA-2877883","X004X86U7N","B00JJZGD4O","Polaris Snowmobile VES Full Synthetic 2-Cycle Oil, For 2-Stroke Snowmobiles, 1 Gallon - 2877883-CA","NewItem","CAD","71.56","71.56","1","0","1",,
"2026-04-11T21:22:02+00:00","21661929621",,,"Lost_Warehouse","FBA-CB68844","X004XZC3QD","B00NO0QZMU","Honda Pro GN4 Motor Oil - 10W30-1 Gallon/-","NewItem","CAD","16.15","16.15","1","0","1",,
"2026-04-10T12:22:37+00:00","21646270131",,"702-0195807-9016219","CustomerReturn","FBA-U6920035","X004XL010H","B0C8WP4GXV","KTM/Motorex Coolant M3.0 Ready to Use (1.0L) - U6920035","NewItem","CAD","17.55","17.55","1","0","1",,
"2026-04-09T06:28:14+00:00","21630968061",,"701-3073917-9152209","CustomerReturn","FBA-901197-01","X004X88ZCB","B014LC7E1A","Park Tool CB-4 Bio Chainbrite Bicycle Chain & Component Cleaning Fluid - 16 fl oz/472 ml Bottle","NewItem","CAD","14.86","14.86","1","0","1",,
"2026-04-09T01:04:40+00:00","21627163721",,"702-3597205-3241030","CustomerReturn","FBA-2883732","X004X8793R","B07HCNFCK3","Polaris VES Extreme Highest Performance Full Synthetic 2-Cycle Oil, 2-Stroke Snowmobiles","NewItem","CAD","82.90","82.90","1","0","1",,
"2026-04-08T19:09:14+00:00","21623406091",,,"Reimbursement_Reversal","ACB68843","X0043A5ECX","B01J8DMQ92","HONDA 08C35-A141L01 Honda Pro GN4 Motor Oil, 10W40, 1 gal","NewItem","CAD","-19.09","-38.18","-2","2","0","18541975071","Lost_Inbound"
"2026-04-08T09:36:34+00:00","21620156351",,,"Reimbursement_Reversal","A2877922","X003V4NQVD","B07BYCHTZZ","Polaris Demand Drive Front Gearcase and Centralized Clutch Drive Fluid, for ORVs, 2877922, 1 Quart","NewItem","CAD","-17.06","-34.12","-2","2","0","21595845541","Lost_Warehouse"
"2026-04-07T21:10:41+00:00","21613902561",,"702-4349211-1579413","CustomerReturn","FBA-021110","X004X6RL2X","B01N7FBCDC","25X10.00-12 6PR TRAIL FIGHTER KIMPEX","NewItem","CAD","90.88","90.88","1","0","1",,
"2026-04-07T12:52:46+00:00","21608656421",,"702-3487704-4867433","CustomerReturn","A458050","B0752P3YCP","B0752P3YCP","KIMPEX 458000 Black Nomad Trunk Rear","NewItem","CAD","303.06","303.06","1","0","1",,
"2026-04-07T07:22:27+00:00","21608217411",,"702-5996986-3390602","CustomerReturn","A260621-FBA","B01IVRBJ5S","B01IVRBJ5S","Kimpex Synthetic Engine Oil Lubricant 10W40 4 Stroke 1 Gallon ATV, Motorcycle 260621","NewItem","CAD","28.26","28.26","1","0","1",,
"2026-04-07T05:14:53+00:00","21606498601",,"702-4349211-1579413","CustomerReturn","FBA-021110","X004X6RL2X","B01N7FBCDC","25X10.00-12 6PR TRAIL FIGHTER KIMPEX","NewItem","CAD","90.88","90.88","1","0","1",,
"2026-04-07T02:30:14+00:00","21604466731",,,"Reimbursement_Reversal","A2877922","X003V4NQVD","B07BYCHTZZ","Polaris Demand Drive Front Gearcase and Centralized Clutch Drive Fluid, for ORVs, 2877922, 1 Quart","NewItem","CAD","-30.67","-30.67","-1","1","0","20527547071","CustomerReturn"
"2026-04-06T08:59:42+00:00","21595845541",,,"Lost_Warehouse","A2877922","X003V4NQVD","B07BYCHTZZ","Polaris Demand Drive Front Gearcase and Centralized Clutch Drive Fluid, for ORVs, 2877922, 1 Quart","NewItem","CAD","17.06","34.12","2","0","2",,
"2026-04-05T22:10:46+00:00","21589993841",,,"Damaged_Warehouse","A2879323","B00OABTK9W","B00OABTK9W","Polaris Full Synthetic Oil Change Kit, 2879323, 2.5 Quarts of PS-4 Engine Oil and 1 Oil Filter","NewItem","CAD","41.60","41.60","1","0","1",,
"2026-04-05T13:23:08+00:00","21585585551",,"702-1501781-8118664","CustomerReturn","A260621-FBA","B01IVRBJ5S","B01IVRBJ5S","Kimpex Synthetic Engine Oil Lubricant 10W40 4 Stroke 1 Gallon ATV, Motorcycle 260621","NewItem","CAD","28.26","28.26","1","0","1",,
"2026-04-05T04:05:08+00:00","21583422631",,,"Reimbursement_Reversal","A2877922","X003V4NQVD","B07BYCHTZZ","Polaris Demand Drive Front Gearcase and Centralized Clutch Drive Fluid, for ORVs, 2877922, 1 Quart","NewItem","CAD","-22.30","-22.30","-1","1","0","21567511341","CustomerReturn"
"2026-04-05T00:16:18+00:00","21580660201",,"701-7471274-3612214","CustomerReturn","FBA-021110","X004X6RL2X","B01N7FBCDC","25X10.00-12 6PR TRAIL FIGHTER KIMPEX","NewItem","CAD","90.88","90.88","1","0","1",,
"2026-04-04T18:07:37+00:00","21579343601",,,"Lost_Warehouse","FBA-CB68844","X004XZC3QD","B00NO0QZMU","Honda Pro GN4 Motor Oil - 10W30-1 Gallon/-","NewItem","CAD","16.15","16.15","1","0","1",,
"2026-04-04T15:52:44+00:00","21577695931",,"701-7842063-9194625","CustomerReturn","A260610","B01IVR9BEO","B01IVR9BEO","Kimpex Mineral Engine Oil Lubricant 10W40 4 Stroke 1 Gallon ATV, Motorcycle 260610","NewItem","CAD","23.51","23.51","1","0","1",,
"2026-04-04T14:00:04+00:00","21576453181",,"701-7842063-9194625","CustomerReturn","A260610","B01IVR9BEO","B01IVR9BEO","Kimpex Mineral Engine Oil Lubricant 10W40 4 Stroke 1 Gallon ATV, Motorcycle 260610","NewItem","CAD","23.51","23.51","1","0","1",,
"2026-04-03T22:36:22+00:00","21567511341",,"702-2604801-7481865","CustomerReturn","A2877922","X003V4NQVD","B07BYCHTZZ","Polaris Demand Drive Front Gearcase and Centralized Clutch Drive Fluid, for ORVs, 2877922, 1 Quart","NewItem","CAD","22.30","22.30","1","0","1",,
"2026-04-03T12:30:08+00:00","21564639841",,"702-0780795-9364204","CustomerReturn","A155955","X0046BB3U1","B08FYN9JGY","Kimpex Ice Scratcher - Long Suspension Part# 155955#","NewItem","CAD","57.76","57.76","1","0","1",,
"2026-04-03T12:10:35+00:00","21565897911",,,"Damaged_Warehouse","A2879323","B00OABTK9W","B00OABTK9W","Polaris Full Synthetic Oil Change Kit, 2879323, 2.5 Quarts of PS-4 Engine Oil and 1 Oil Filter","NewItem","CAD","41.60","41.60","1","0","1",,
"2026-04-03T11:15:15+00:00","21563441101",,,"Reimbursement_Reversal","A2877922","X003V4NQVD","B07BYCHTZZ","Polaris Demand Drive Front Gearcase and Centralized Clutch Drive Fluid, for ORVs, 2877922, 1 Quart","NewItem","CAD","-17.06","-17.06","-1","1","0","21155040921","Lost_Warehouse"
